iter	Passed	Remaining
190	1362	5772
191	1369	5763
192	1376	5753
193	1382	5744
194	1389	5734
195	1395	5725
196	1405	5728
197	1413	5724
198	1421	5722
199	1429	5718
200	1437	5715
201	1447	5717
202	1454	5711
203	1461	5702
204	1469	5698
205	1476	5689
206	1483	5682
207	1490	5673
208	1497	5665
209	1503	5657
210	1510	5650
211	1518	5644
212	1525	5636
213	1532	5627
214	1538	5618
215	1545	5610
216	1552	5601
217	1559	5592
218	1565	5584
219	1573	5577
220	1582	5576
221	1590	5574
222	1598	5570
223	1606	5566
224	1615	5565
225	1623	5559
226	1630	5551
227	1638	5547
228	1645	5539
229	1652	5531
230	1659	5523
231	1666	5517
232	1673	5509
233	1680	5500
234	1687	5492
235	1693	5483
236	1700	5474
237	1707	5465
238	1713	5457
239	1720	5448
240	1727	5440
241	1734	5432
242	1740	5423
243	1747	5414
244	1757	5414
245	1765	5410
246	1773	5405
247	1781	5402
248	1790	5401
249	1798	5394
250	1804	5384
251	1812	5379
252	1818	5370
253	1825	5361
254	1832	5352
255	1838	5344
256	1845	5334
257	1851	5325
258	1858	5316
259	1864	5307
260	1872	5303
261	1879	5295
262	1886	5285
263	1892	5276
264	1899	5267
265	1905	5258
266	1912	5249
267	1918	5241
268	1925	5232
269	1934	5230
270	1942	5225
271	1950	5220
272	1958	5215
273	1968	5215
274	1976	5210
275	1984	5204
276	1991	5196
277	1997	5189
278	2006	5184
279	2012	5175
280	2019	5166
281	2025	5157
282	2032	5148
283	2038	5139
284	2045	5131
285	2051	5122
286	2058	5114
287	2065	5105
288	2071	5096
289	2078	5088
290	2084	5079
291	2091	5071
292	2098	5063
293	2108	5062
294	2115	5056
295	2124	5052
296	2132	5047
297	2141	5043
298	2150	5041
299	2157	5035
300	2164	5027
301	2172	5020
302	2179	5012
303	2186	5006
304	2193	4998
305	2200	4990
306	2207	4982
307	2215	4976
308	2222	4969
309	2229	4961
310	2235	4953
311	2242	4945
312	2249	4937
313	2256	4929
314	2263	4921
315	2269	4913
316	2276	4905
317	2285	4902
318	2294	4897
319	2302	4892
320	2310	4887
321	2319	4883
322	2329	4883
323	2336	4874
324	2344	4868
325	2351	4860
326	2358	4853
327	2364	4845
328	2372	4837
329	2378	4829
330	2385	4822
331	2392	4813
332	2399	4805
333	2406	4797
334	2412	4789
335	2419	4781
336	2426	4773
337	2433	4766
338	2440	4758
339	2447	4750
340	2454	4742
341	2463	4739
342	2471	4733
343	2479	4728
344	2487	4723
345	2496	4718
346	2506	4716
347	2514	4711
348	2521	4703
349	2528	4696
350	2535	4687
351	2542	4680
352	2549	4672
353	2555	4663
354	2562	4656
355	2569	4647
356	2575	4639
357	2582	4630
358	2588	4622
359	2595	4614
360	2603	4607
361	2609	4599
362	2616	4591
363	2622	4582
364	2629	4574
365	2638	4571
366	2646	4565
367	2655	4560
368	2663	4555
369	2671	4549
370	2680	4544
371	2688	4538
372	2694	4529
373	2702	4523
374	2708	4514
375	2715	4507
376	2722	4499
377	2729	4491
378	2735	4482
379	2742	4474
380	2748	4466
381	2755	4457
382	2761	4449
383	2768	4441
384	2775	4433
385	2782	4426
386	2789	4418
387	2795	4409
388	2802	4401
389	2811	4397
390	2819	4391
391	2827	4385
392	2835	4380
393	2845	4376
394	2853	4369
395	2859	4361
396	2866	4353
397	2873	4346
398	2880	4338
399	2886	4330
400	2893	4322
401	2900	4314
402	2907	4306
403	2913	4298
404	2920	4290
405	2926	4282
406	2933	4274
407	2940	4265
408	2946	4258
409	2953	4250
410	2959	4241
411	2966	4234
412	2973	4225
413	2979	4217
414	2988	4212
415	2997	4207
416	3005	4202
417	3014	4196
418	3024	4193
419	3031	4185
420	3037	4177
421	3045	4170
422	3051	4162
423	3059	4155
424	3065	4147
425	3072	4139
426	3078	4131
427	3085	4123
428	3091	4115
429	3098	4107
430	3105	4099
431	3111	4091
432	3119	4084
433	3126	4077
434	3135	4072
435	3142	4064
436	3148	4056
437	3155	4049
438	3165	4045
439	3173	4039
440	3182	4034
441	3190	4027
442	3199	4022
443	3207	4016
444	3215	4010
445	3222	4002
446	3229	3994
447	3236	3987
448	3243	3980
449	3250	3972
450	3257	3964
451	3263	3956
452	3270	3948
453	3276	3940
454	3283	3932
455	3289	3924
456	3296	3916
457	3302	3908
458	3309	3900
459	3315	3892
460	3322	3884
461	3328	3876
462	3338	3871
463	3345	3865
464	3354	3859
465	3363	3853
466	3371	3848
467	3380	3842
468	3387	3835
469	3394	3827
470	3401	3820
471	3407	3812
472	3414	3804
473	3421	3796
474	3427	3788
475	3434	3780
476	3440	3772
477	3447	3765
478	3454	3756
479	3460	3748
480	3467	3741
481	3474	3733
482	3480	3725
483	3487	3718
484	3494	3710
485	3500	3702
486	3516	3704
487	3525	3699
488	3535	3694
489	3543	3688
490	3551	3681
491	3558	3674
492	3568	3670
493	3575	3662
494	3582	3654
495	3589	3647
496	3596	3640
497	3604	3633
498	3610	3625
499	3617	3617
500	3624	3609
501	3630	3601
502	3637	3594
503	3643	3586
504	3650	3577
505	3656	3569
506	3662	3561
507	3669	3553
508	3675	3545
509	3682	3537
510	3688	3529
511	3694	3521
512	3703	3516
513	3712	3509
514	3719	3502
515	3727	3496
516	3734	3489
517	3744	3483
518	3750	3476
519	3757	3468
520	3764	3461
521	3771	3453
522	3777	3445
523	3784	3437
524	3790	3429
525	3796	3421
526	3803	3413
527	3810	3406
528	3817	3398
529	3823	3390
530	3830	3382
531	3836	3375
532	3843	3367
533	3849	3359
534	3855	3351
535	3862	3343
536	3868	3335
537	3877	3329
538	3885	3323
539	3893	3316
540	3901	3309
541	3909	3303
542	3918	3298
543	3926	3291
544	3934	3284
545	3941	3277
546	3947	3269
547	3954	3262
548	3974	3264
549	3980	3256
550	3987	3249
551	3993	3241
552	4000	3233
553	4006	3225
554	4013	3217
555	4019	3210
556	4026	3202
557	4032	3194
558	4039	3186
559	4046	3179
560	4056	3174
561	4065	3168
562	4074	3162
563	4083	3156
564	4093	3151
565	4100	3144
566	4108	3137
567	4114	3129
568	4121	3121
569	4128	3114
570	4134	3106
571	4141	3098
572	4147	3090
573	4154	3083
574	4160	3075
575	4167	3067
576	4174	3060
577	4180	3052
578	4187	3044
579	4193	3036
580	4200	3029
581	4206	3021
582	4213	3013
583	4219	3005
584	4229	3000
585	4236	2993
586	4245	2986
587	4253	2980
588	4263	2975
589	4271	2968
590	4279	2961
591	4285	2953
592	4292	2946
593	4299	2938
594	4305	2930
595	4312	2923
596	4318	2915
597	4325	2907
598	4332	2900
599	4338	2892
600	4345	2884
601	4351	2876
602	4358	2869
603	4364	2861
604	4371	2854
605	4378	2846
606	4385	2839
607	4391	2831
608	4398	2823
609	4407	2817
610	4415	2811
611	4423	2804
612	4431	2797
613	4440	2791
614	4448	2784
615	4455	2777
616	4461	2769
617	4469	2762
618	4478	2756
619	4485	2749
620	4492	2741
621	4498	2734
622	4505	2726
623	4512	2718
624	4518	2711
625	4525	2703
626	4532	2696
627	4538	2688
628	4545	2680
629	4551	2673
630	4558	2665
631	4564	2657
632	4571	2650
633	4578	2642
634	4588	2637
635	4596	2630
636	4604	2623
637	4612	2617
638	4621	2610
639	4630	2604
640	4638	2597
641	4645	2590
642	4652	2583
643	4659	2575
644	4665	2568
645	4672	2560
646	4679	2553
647	4687	2546
648	4693	2538
649	4700	2531
650	4707	2523
651	4714	2516
652	4720	2508
653	4727	2501
654	4734	2493
655	4741	2486
656	4752	2480
657	4762	2475
658	4773	2469
659	4782	2463
660	4793	2458
661	4804	2452
662	4812	2446
663	4820	2439
664	4828	2432
665	4837	2425
666	4846	2419
667	4854	2412
668	4861	2405
669	4868	2397
670	4875	2390
671	4881	2382
672	4888	2375
673	4895	2367
674	4902	2360
675	4909	2353
676	4917	2346
677	4924	2338
678	4933	2332
679	4942	2325
680	4950	2318
681	4958	2312
682	4966	2305
683	4976	2299
684	4984	2292
685	4991	2284
686	4999	2277
687	5006	2270
688	5014	2263
689	5021	2256
690	5028	2248
691	5035	2241
692	5042	2233
693	5049	2226
694	5055	2218
695	5062	2211
696	5069	2203
697	5075	2196
698	5082	2188
699	5089	2181
700	5096	2173
701	5102	2166
702	5112	2159
703	5122	2153
704	5130	2146
705	5138	2139
706	5146	2133
707	5157	2127
708	5164	2119
709	5172	2112
710	5179	2105
711	5186	2097
712	5193	2090
713	5199	2082
714	5206	2075
715	5213	2067
716	5220	2060
717	5227	2053
718	5234	2045
719	5241	2038
720	5248	2031
721	5255	2023
722	5262	2016
723	5268	2008
724	5275	2001
725	5284	1994
726	5292	1987
727	5300	1980
728	5309	1973
729	5318	1967
730	5326	1960
731	5332	1952
732	5340	1945
733	5355	1940
734	5364	1934
735	5371	1926
736	5377	1919
737	5384	1911
738	5390	1903
739	5397	1896
740	5404	1889
741	5412	1881
742	5418	1874
743	5425	1866
744	5431	1859
745	5438	1851
746	5444	1844
747	5451	1836
748	5460	1829
749	5470	1823
750	5478	1816
751	5485	1809
752	5496	1802
753	5503	1795
754	5509	1787
755	5517	1780
756	5524	1773
757	5531	1765
758	5538	1758
759	5545	1751
760	5551	1743
761	5558	1736
762	5565	1728
763	5572	1721
764	5579	1713
765	5586	1706
766	5593	1699
767	5600	1691
768	5607	1684
769	5614	1676
770	5621	1669
771	5627	1662
772	5637	1655
773	5645	1648
774	5654	1641
775	5662	1634
776	5670	1627
777	5679	1620
778	5687	1613
779	5694	1606
780	5702	1599
781	5709	1591
782	5716	1584
783	5723	1576
784	5730	1569
785	5736	1561
786	5743	1554
787	5750	1547
788	5757	1539
789	5763	1532
790	5770	1524
791	5776	1517
792	5783	1509
793	5789	1502
794	5796	1494
795	5802	1487
796	5812	1480
797	5820	1473
798	5829	1466
799	5836	1459
800	5845	1452
801	5854	1445
802	5861	1437
803	5867	1430
804	5875	1423
805	5881	1415
806	5888	1408
807	5895	1400
808	5901	1393
809	5908	1385
810	5914	1378
811	5921	1370
812	5928	1363
813	5935	1356
814	5942	1349
815	5949	1341
816	5957	1334
817	5963	1326
818	5970	1319
819	5976	1311
820	5983	1304
821	5992	1297
822	6000	1290
823	6008	1283
824	6017	1276
825	6025	1269
826	6035	1262
827	6043	1255
828	6050	1247
829	6058	1240
830	6065	1233
831	6072	1226
832	6079	1218
833	6085	1211
834	6092	1203
835	6099	1196
836	6105	1189
837	6112	1181
838	6119	1174
839	6126	1166
840	6133	1159
841	6139	1152
842	6146	1144
843	6153	1137
844	6159	1129
845	6169	1123
846	6178	1116
847	6188	1109
848	6196	1102
849	6204	1094
850	6214	1088
851	6221	1080
852	6227	1073
853	6235	1066
854	6242	1058
855	6249	1051
856	6256	1043
857	6263	1036
858	6270	1029
859	6277	1021
860	6284	1014
861	6292	1007
862	6298	999
863	6305	992
864	6312	985
865	6319	977
866	6325	970
867	6332	963
868	6352	957
869	6360	950
870	6368	943
871	6377	936
872	6385	929
873	6394	921
874	6401	914
875	6407	907
876	6414	899
877	6421	892
878	6428	884
879	6435	877
880	6441	870
881	6448	862
882	6454	855
883	6461	847
884	6468	840
885	6474	833
886	6480	825
887	6487	818
888	6494	810
889	6500	803
890	6508	796
891	6517	789
892	6525	781
893	6533	774
894	6543	767
895	6552	760
896	6561	753
897	6567	746
898	6575	738
899	6581	731
900	6588	723
901	6595	716
902	6602	709
903	6609	701
904	6615	694
905	6622	687
906	6629	679
907	6636	672
908	6643	665
909	6650	657
910	6657	650
911	6663	643
912	6670	635
913	6677	628
914	6684	620
915	6693	613
916	6702	606
917	6710	599
918	6718	592
919	6728	585
920	6735	577
921	6742	570
922	6751	563
923	6758	555
924	6765	548
925	6772	541
926	6779	533
927	6785	526
928	6792	519
929	6799	511
930	6806	504
931	6813	497
932	6819	489
933	6826	482
934	6833	475
935	6839	467
936	6846	460
937	6852	452
938	6859	445
939	6869	438
940	6877	431
941	6886	424
942	6895	416
943	6906	409
944	6914	402
945	6921	395
946	6928	387
947	6935	380
948	6941	373
949	6948	365
950	6954	358
951	6961	350
952	6967	343
953	6974	336
954	6981	328
955	6988	321
956	6995	314
957	7002	306
958	7008	299
959	7015	292
960	7021	284
961	7028	277
962	7034	270
963	7043	263
964	7051	255
965	7060	248
966	7068	241
967	7076	233
968	7085	226
969	7093	219
970	7100	212
971	7108	204
972	7115	197
973	7122	190
974	7128	182
975	7135	175
976	7142	168
977	7148	160
978	7155	153
979	7162	146
980	7169	138
981	7176	131
982	7182	124
983	7189	116
984	7196	109
985	7202	102
986	7209	94
987	7218	87
988	7229	80
989	7237	73
990	7245	65
991	7253	58
992	7263	51
993	7271	43
994	7278	36
995	7286	29
996	7293	21
997	7301	14
998	7308	7
999	7315	0
